total=601
t=0.010000 n=14
13263.823701 1.097949 -0.016527
45973.412086 1.466542 -0.052981
54483.961400 1.480963 -0.046758
3188.909793 1.128377 -1.049639
50062.449484 1.520717 -0.004086
54164.611641 1.534483 -0.062797
27872.554631 1.571021 0.012098
17721.081018 1.198995 0.008091
2881.193361 1.258584 -0.280544
17660.412383 1.449659 -0.174872
25845.905185 1.561294 -0.039336
54500.871069 1.477047 0.003017
46383.036229 1.438876 -0.062686
t=0.300000 n=19
43130.148416 1.417771 -0.019544
6715.749261 0.304770 -0.073317
3116.973919 0.533508 -0.857260
44520.324383 1.463502 -0.069959
50637.125841 1.538749 -0.055972
8494.555284 1.423037 -0.117937
38304.682560 1.550506 -0.006051
32142.167306 1.532850 -0.012257
55159.953824 1.537853 -0.024646
46515.550690 1.523193 -0.070255
46199.483397 1.538561 -0.067852
52666.925758 1.470738 -0.046991
37851.969659 1.539500 -0.057640
3932.206860 0.151877 -0.893096
37094.890422 1.390087 -0.076776
37947.630742 1.413129 -0.031293
1745.606569 0.483365 -0.504348
49987.507730 1.445350 -0.025043
46314.674519 1.439822 -0.063466
t=0.310000 n=19
12421.901078 1.269229 -0.267691
43919.399244 1.464549 -0.044923
2889.764779 1.416867 -0.650313
13432.783692 1.118501 -0.005806
40691.567928 1.538677 -0.010269
31440.949974 1.454239 -0.039486
31745.796663 1.595450 -0.038471
47698.250293 1.487549 -0.010637
10057.110374 1.669561 -0.333855
21821.477909 1.487366 0.021795
9353.248816 1.632624 -0.027257
3506.858720 -0.780773 -0.086412
42707.391389 1.478310 -0.038694
17175.102084 1.368844 -0.028163
24458.982702 1.361509 -0.068175
22874.962395 1.353101 -0.012544
20032.172048 1.563269 -0.148264
38178.122572 1.468857 -0.038629
46272.531929 1.441313 -0.057171
t=0.320000 n=19
47908.421211 1.548535 -0.013235
27885.896670 1.327992 0.007189
29045.668789 1.335262 -0.007811
43577.023058 1.410821 -0.023872
26225.127564 1.509793 -0.113963
40384.178531 1.427642 -0.043666
4635.501285 0.957471 -0.042978
5823.540521 -0.427865 -0.342778
46494.005064 1.491995 -0.011936
41129.605916 1.428287 -0.012042
43265.284585 1.453950 0.010727
9116.061076 1.366261 -0.102829
20688.578711 1.603142 -0.132843
18284.983779 1.400568 -0.061041
30319.067631 1.377750 -0.070633
17694.123002 1.290702 -0.054926
9183.653240 1.036916 -0.095968
53975.457683 1.535907 -0.024923
46160.888080 1.439675 -0.066202
t=0.330000 n=25
16883.417683 1.485343 -0.188539
5408.911624 -0.650127 -0.167446
15736.337975 1.411253 -0.128047
42659.227070 1.560086 0.002746
51835.447323 1.545825 0.003724
28270.103977 1.528826 -0.114288
37281.911242 1.573086 -0.027831
8873.628257 1.069699 -0.327854
41275.373643 1.504050 -0.040255
51437.123253 1.484444 -0.010357
13285.141344 1.503342 -0.057223
16085.130028 1.336994 -0.184374
19780.427805 1.620480 -0.038257
27228.707906 1.397808 -0.038369
37006.949596 1.503924 -0.028338
21174.476255 1.366409 -0.086123
49886.361635 1.583143 -0.056596
15355.781137 1.112754 -0.124931
42310.623694 1.489858 -0.030298
53667.028373 1.518719 -0.006403
6747.989675 1.278769 -0.238382
54451.185764 1.533855 -0.013070
7137.800651 -0.302468 0.048388
13956.319755 1.378774 -0.194425
46102.970274 1.440358 -0.070433
t=0.340000 n=18
18179.766222 1.220504 -0.032982
35505.311808 1.584280 -0.015515
16422.161520 1.608849 0.013337
34696.096302 1.585143 -0.030422
53474.800007 1.504078 -0.048630
7595.636515 0.615973 -0.003916
34357.326959 1.372490 -0.099754
5538.053504 -0.405486 0.053400
24003.614413 1.355016 0.005881
53551.935406 1.512157 -0.051241
53296.910968 1.466473 -0.028121
8329.197565 1.475973 -0.024104
50040.774166 1.552861 -0.000039
5670.974709 0.988554 -0.367692
9281.859962 0.839859 -0.305958
3883.171647 -1.049202 -0.183299
54816.659158 1.516687 -0.022047
46013.710555 1.437007 -0.067628
t=0.350000 n=25
24068.318244 1.593031 0.001831
6096.853802 -0.441483 -0.582426
2665.097719 0.031612 0.180308
20567.714611 1.552375 -0.109320
22103.840235 1.494039 0.013536
6342.543780 0.253533 -0.247536
3528.551110 -1.261092 -0.442096
50155.715210 1.438015 0.000836
50273.291676 1.465972 0.009163
47535.757637 1.560140 -0.057126
42753.806881 1.511592 -0.033414
27197.279159 1.342101 -0.001698
6055.807625 0.507921 -0.541540
21817.665693 1.598894 -0.081744
14007.547154 1.205420 0.006685
32508.434935 1.395262 -0.047325
5464.598946 -0.216272 -0.359524
34240.288299 1.456710 -0.080959
38705.789980 1.491860 -0.077312
39712.722085 1.415770 -0.073122
15572.183426 1.157146 -0.110494
37243.597200 1.567276 -0.028510
17718.981999 1.525667 -0.087457
4459.609806 0.282986 -0.167610
45940.246442 1.438890 -0.062019
t=0.360000 n=20
19813.897422 1.551611 0.007970
22267.721853 1.303571 -0.028161
4350.633901 -1.553827 -0.768574
29362.136450 1.477111 -0.065119
22837.220931 1.439163 -0.146959
25434.751267 1.487725 -0.120977
51200.137756 1.442824 -0.042916
14671.651071 1.246881 -0.054055
51032.970826 1.465071 -0.023248
24027.789905 1.295698 -0.046685
43631.157460 1.433551 -0.045452
14602.004251 1.338813 -0.234070
17831.324209 1.471474 0.008187
4779.648471 0.240368 -0.272721
39129.907848 1.482388 -0.009027
51527.288914 1.535616 -0.052356
3813.118377 -0.162966 -0.572491
4934.212335 1.163959 -0.652857
11634.312330 1.526722 -0.210072
45891.855593 1.438361 -0.056376
t=0.370000 n=21
45891.214692 1.479290 -0.027199
30536.953369 1.370009 -0.092167
54713.347521 1.550803 -0.005777
9206.826476 0.873341 -0.202937
35825.726042 1.571972 -0.096054
21161.275265 1.364740 -0.137125
9196.519504 1.051237 0.001208
47895.021875 1.430847 -0.024642
11529.754886 1.467893 -0.014732
54257.114125 1.559443 -0.036441
4809.873168 0.993493 -0.274358
50235.225706 1.564760 -0.059401
41407.890635 1.538395 -0.070612
4190.006785 0.281808 -0.753895
6245.505752 0.045018 -0.539412
9090.988434 0.737372 0.045881
53944.139917 1.537008 -0.017411
20956.975710 1.334151 -0.048427
5654.343234 0.415965 -0.559824
42420.108164 1.509366 -0.077692
45791.527629 1.436161 -0.056329
t=0.380000 n=20
5071.757011 1.679311 -0.206618
45766.761806 1.488983 -0.064701
43253.028239 1.537974 -0.062862
9231.259958 1.008360 -0.106157
37086.409518 1.519818 -0.029111
3150.590189 -0.711291 -0.187718
34953.441706 1.596506 0.009979
14689.304023 1.408762 -0.196251
49217.636198 1.436724 -0.057750
35481.762272 1.598867 -0.002100
48619.867199 1.517845 -0.063483
35979.562754 1.576471 -0.006839
4059.529201 0.578080 -1.001086
